,Input Channel,Input Height/Width,Filter Height/Width,Stride,Input Batch = 1 - Kernel (us),Input Batch = 1 - MIOpen (us),Speed Up (%),Input Batch = 8 - Kernel (us),Input Batch = 8 - MIOpen (us),Speed Up (%),Input Batch = 16 - Kernel (us),Input Batch = 16 - MIOpen (us),Speed Up (%),Input Batch = 32 - Kernel (us),Input Batch = 32 - MIOpen (us),Speed Up (%),Input Batch = 64 - Kernel (us),Input Batch = 64 - MIOpen (us),Speed Up (%),Input Batch = 128 - Kernel (us),Input Batch = 128 - MIOpen (us),Speed Up (%)
0,32,112,3,1,49.758,164.318,69.718,88.158,1307.04,93.255,128.318,2487.359,94.841,211.838,4859.52,95.641,397.278,648.958,38.782,831.518,19083.357,95.643
1,144,56,3,1,52.48,175.68,70.128,109.438,329.92,66.829,169.76,535.2,68.281,282.238,926.24,69.529,503.358,1718.239,70.705,937.44,3286.56,71.477
2,192,28,3,1,51.518,123.36,58.238,65.278,216.32,69.823,83.038,287.2,71.087,113.76,445.6,74.47,176.478,732.32,75.902,303.838,1271.68,76.107
3,240,28,5,1,58.24,152.64,61.845,76.318,318.56,76.043,96.638,507.52,80.959,138.398,884.32,84.35,220.478,1644.16,86.59,383.521,3148.159,87.818
4,384,14,3,1,47.038,108.16,56.511,53.438,149.92,64.356,63.358,204.8,69.063,80.158,314.4,74.504,111.838,528.96,78.857,178.078,967.519,81.594
5,480,14,3,1,46.88,108,56.593,55.198,168.32,67.207,54.72,237.12,76.923,87.52,425.6,79.436,135.198,640.16,78.881,207.038,1173.919,82.364
6,480,14,5,1,50.878,123.52,58.81,61.438,266.72,76.965,71.68,342.4,79.065,91.998,582.72,84.212,126.56,1058.88,88.048,200.32,2012.639,90.047
7,576,14,3,1,52.798,99.52,46.947,46.56,177.92,73.831,71.838,242.24,70.344,95.04,482.72,80.312,143.678,743.2,80.668,241.278,2516.48,90.412
8,672,14,5,1,50.88,136.32,62.676,65.438,269.76,75.742,81.278,482.88,83.168,110.08,779.68,85.881,163.361,1434.24,88.61,261.278,2769.279,90.565
9,960,7,3,1,47.518,99.84,52.406,52.64,148.16,64.471,59.998,197.6,69.637,71.84,300.48,76.092,97.758,511.68,80.895,152.318,909.6,83.254
10,1152,7,3,1,45.438,119.84,62.084,52.958,166.08,68.113,61.598,237.28,74.04,78.238,347.36,77.476,108.318,586.24,81.523,170.398,1061.12,83.942
11,1152,7,5,1,47.84,136.16,64.865,56.8,226.56,74.929,64.8,348.48,81.405,80.958,567.52,85.735,114.078,1021.76,88.835,181.118,1931.04,90.621
12,96,112,3,2,57.758,167.04,65.423,141.918,296.16,52.081,229.918,472.64,51.355,408.478,822.88,50.36,776.798,1482.239,47.593,1572.64,2792.801,43.69
13,144,56,3,2,55.998,118.398,52.704,98.078,213.44,54.049,142.398,277.12,48.615,225.918,408.32,44.671,398.078,656.16,39.332,736.158,1221.44,39.73
14,144,56,5,2,62.878,151.84,58.589,109.598,310.24,64.673,153.118,454.4,66.303,236.798,787.52,69.931,404.798,1436.48,71.82,738.08,2734.88,73.012
15,192,28,3,2,48.798,105.76,53.86,57.758,176.8,67.331,80.318,210.72,61.884,95.038,216.64,56.131,139.68,309.28,54.837,229.12,549.12,58.275
16,240,28,3,2,49.28,101.12,51.266,60.64,131.84,54.005,64.478,170.88,62.267,104.958,242.56,56.729,159.838,382.238,58.184,269.278,661.12,59.269
17,576,14,3,2,46.558,106.078,56.11,55.838,134.08,58.355,63.358,171.52,63.061,81.12,235.36,65.534,123.198,369.44,66.653,196.158,624.32,68.581
18,672,14,5,2,48.48,138.88,65.092,62.078,186.88,66.782,75.518,276.959,72.733,107.038,428.16,75,163.998,738.24,77.785,263.68,1375.52,80.831
,,,,,,,59.15078947,,,67.83368421,,,70.79110526,,,72.94705263,,,71.28947368,,,76.17010526
