,Input Channel,Input Height/Width,Output Channel,Input Batch = 1 - cuDNN (us),Input Batch = 8 - cuDNN (us),Input Batch = 16 - cuDNN (us),Input Batch = 32 - cuDNN (us),Input Batch = 64 - cuDNN (us),Input Batch = 128 - cuDNN (us)
0,32,112,16,43.168,75.680,121.232,182.832,326.480,533.936
1,16,112,96,57.088,152.912,184.144,298.864,595.664,1103.552
2,96,56,24,44.720,71.712,90.592,134.768,223.456,348.352
3,24,56,144,44.224,120.352,118.512,172.272,276.208,504.816
4,144,56,24,51.344,84.688,115.856,185.104,276.768,461.216
5,144,28,32,47.696,54.560,60.832,84.880,123.040,195.888
6,32,28,192,40.000,64.816,88.784,136.832,137.536,208.864
7,192,28,32,52.752,60.656,68.000,98.768,142.176,235.840
8,144,28,40,49.904,59.552,79.024,112.480,179.280,244.928
9,40,28,240,41.392,73.456,111.200,114.528,173.824,286.912
10,240,28,40,59.376,70.048,104.896,155.728,221.232,363.456
11,192,14,64,50.848,57.440,59.792,68.288,93.856,146.352
12,64,14,384,39.648,56.672,79.200,110.112,154.160,194.032
13,384,14,64,70.672,73.888,79.456,98.256,148.032,238.192
14,384,14,96,72.256,76.128,88.672,112.752,184.784,258.368
15,96,14,576,43.856,74.320,107.360,165.920,210.960,340.032
16,576,14,96,91.792,94.800,116.128,153.600,259.968,346.944
17,240,14,80,55.440,62.032,70.080,84.112,131.072,204.944
18,80,14,480,44.048,63.216,92.384,135.488,169.136,267.472
19,480,14,80,80.640,84.336,102.064,131.536,218.304,297.632
20,480,14,112,81.392,86.848,106.432,175.568,260.288,386.912
21,112,14,672,48.848,88.304,126.016,202.032,253.600,433.568
22,672,14,112,97.664,105.344,131.072,230.576,319.808,481.856
23,576,7,160,108.608,92.464,92.192,96.288,149.008,198.112
24,160,7,960,50.512,65.072,103.152,146.688,163.760,253.616
25,960,7,160,127.312,124.608,127.184,135.808,211.344,284.816
26,960,7,320,126.272,131.072,137.296,206.480,290.432,494.464
27,320,7,1280,67.088,101.440,157.024,243.568,326.736,545.952
28,672,7,192,108.016,98.256,102.288,108.928,168.192,224.080
29,192,7,1152,55.904,75.824,114.224,170.064,202.096,332.176
30,1152,7,192,145.184,140.944,148.400,192.768,253.088,324.752
31,1152,7,320,139.936,148.544,155.264,243.392,336.432,578.608
