,Input Channel,Input Height/Width,Output Channel,Input Batch = 1 Forward - V100S PyTorch (us),Input Batch = 1 Backward - V100S PyTorch (us),Input Batch = 8 Forward - V100S PyTorch (us),Input Batch = 8 Backward - V100S PyTorch (us),Input Batch = 16 Forward - V100S PyTorch (us),Input Batch = 16 Backward - V100S PyTorch (us),Input Batch = 32 Forward - V100S PyTorch (us),Input Batch = 32 Backward - V100S PyTorch (us),Input Batch = 64 Forward - V100S PyTorch (us),Input Batch = 64 Backward - V100S PyTorch (us),Input Batch = 128 Forward - V100S PyTorch (us),Input Batch = 128 Backward - V100S PyTorch (us)
0,32,112,16,174.074,421.731,176.902,443.747,185.568,435.482,224.275,439.600,318.182,721.670,548.170,1456.870
1,16,112,96,155.990,384.090,160.198,467.197,210.640,959.411,321.760,1842.646,629.718,3554.966,1128.442,7315.677
2,96,56,24,157.638,424.483,145.222,298.365,174.304,395.450,190.365,468.400,233.866,642.550,365.933,990.637
3,24,56,144,142.595,380.563,126.166,338.422,147.757,451.376,202.746,806.422,313.862,1420.352,534.874,2823.955
4,144,56,24,144.634,362.515,143.146,364.358,211.792,410.006,226.499,654.931,287.978,897.123,469.782,1398.512
5,144,28,32,160.362,343.251,142.426,421.846,153.658,416.275,182.026,488.512,171.933,429.478,223.110,538.582
6,32,28,192,112.480,243.565,137.066,326.429,120.547,339.914,125.968,425.056,168.266,570.374,236.122,915.648
7,192,28,32,194.509,376.870,104.278,323.216,162.813,356.426,148.928,318.781,197.542,432.778,255.962,573.984
8,144,28,40,194.016,435.693,165.085,430.499,113.965,333.472,147.978,473.238,175.802,457.347,257.459,522.998
9,40,28,240,126.490,348.966,105.120,386.403,114.707,426.202,144.365,544.278,212.845,715.706,317.517,1170.483
10,240,28,40,114.538,406.483,124.090,315.197,131.974,324.048,180.182,475.971,225.120,452.698,371.658,792.970
11,192,14,64,118.602,374.851,87.306,340.042,92.557,369.677,96.832,353.270,119.798,301.034,145.478,394.182
12,64,14,384,114.166,232.998,90.928,342.886,100.179,444.230,108.237,486.378,140.054,582.368,204.963,796.691
13,384,14,64,125.526,391.562,94.070,342.262,108.448,298.045,117.325,407.619,170.269,354.307,216.784,520.723
14,384,14,96,123.562,336.320,94.189,309.885,119.194,240.384,165.853,350.582,180.986,436.333,273.808,498.246
15,96,14,576,109.130,299.894,97.930,535.379,108.902,628.810,145.459,746.976,212.554,893.075,345.632,1261.251
16,576,14,96,118.234,400.854,108.835,268.099,120.838,364.899,169.082,431.488,224.042,534.842,353.114,678.013
17,240,14,80,121.981,348.112,89.754,307.117,99.594,318.979,128.899,347.114,142.026,414.998,198.442,465.725
18,80,14,480,111.293,251.245,90.867,430.922,114.125,531.514,128.829,638.586,178.150,746.070,276.803,1044.595
19,480,14,80,122.672,322.768,126.589,329.802,136.416,275.114,176.070,382.803,249.194,525.642,321.091,568.096
20,480,14,112,144.909,366.134,131.213,376.790,193.053,273.562,191.638,378.282,338.326,455.040,405.923,568.573
21,112,14,672,147.523,343.315,99.971,680.944,130.707,760.982,175.072,884.442,250.787,1074.534,412.534,1544.602
22,672,14,112,137.254,357.821,135.520,375.494,250.294,426.298,221.190,420.586,313.107,519.270,430.278,744.480
23,576,7,160,156.157,374.064,134.752,395.533,114.656,285.568,134.253,354.486,166.480,388.989,210.790,479.046
24,160,7,960,132.797,266.512,127.958,320.352,125.987,337.018,154.006,384.566,186.224,375.571,245.718,656.707
25,960,7,160,144.653,383.638,134.202,307.971,155.466,340.998,154.890,357.366,229.123,457.715,273.312,605.853
26,960,7,320,174.614,381.958,134.605,282.566,149.267,336.870,280.077,434.922,275.014,562.070,447.805,924.611
27,320,7,1280,146.582,342.842,160.483,355.990,180.182,373.741,239.040,409.232,317.082,550.454,511.075,1141.203
28,672,7,192,150.877,337.738,136.771,360.934,125.891,301.018,133.059,334.666,223.648,399.062,237.162,554.563
29,192,7,1152,152.346,330.486,133.642,336.851,125.667,323.200,173.229,438.336,208.502,469.754,326.074,854.419
30,1152,7,192,158.189,385.856,160.179,344.570,166.816,352.051,177.357,326.115,310.566,484.822,339.392,723.859
31,1152,7,320,132.579,344.534,148.566,338.083,168.301,383.270,342.218,452.768,312.605,577.373,538.000,967.709
