,Input Channel,Input Height/Width,Output Channel,Input Batch = 1 - V100S PyTorch (us),Input Batch = 8 - V100S PyTorch (us),Input Batch = 16 - V100S PyTorch (us),Input Batch = 32 - V100S PyTorch (us),Input Batch = 64 - V100S PyTorch (us),Input Batch = 128 - V100S PyTorch (us)
0,32,112,16,91.226,72.035,103.325,156.886,259.066,464.659
1,16,112,96,95.507,96.723,150.230,252.061,529.523,1007.232
2,96,56,24,83.485,72.166,103.168,131.408,184.387,300.163
3,24,56,144,84.394,68.083,90.579,141.648,236.662,431.229
4,144,56,24,78.102,86.029,129.658,159.942,232.429,437.152
5,144,28,32,91.200,53.917,61.414,80.816,107.965,171.459
6,32,28,192,57.670,57.312,61.581,77.846,116.253,191.309
7,192,28,32,88.957,52.432,67.315,94.694,127.187,205.251
8,144,28,40,88.896,77.312,76.739,108.976,134.352,217.856
9,40,28,240,86.304,69.510,70.432,97.082,157.539,278.054
10,240,28,40,89.254,93.795,98.758,150.749,193.414,333.693
11,192,14,64,100.323,57.322,64.330,65.837,88.378,114.202
12,64,14,384,95.466,60.182,61.453,74.458,106.579,164.771
13,384,14,64,88.282,65.661,62.499,86.694,135.142,182.323
14,384,14,96,89.750,65.325,84.246,134.147,149.002,240.765
15,96,14,576,89.446,65.274,84.387,111.104,177.818,304.339
16,576,14,96,88.029,79.744,91.043,137.360,200.736,323.894
17,240,14,80,97.958,63.510,68.346,98.237,107.456,167.549
18,80,14,480,86.467,60.397,80.480,96.237,143.030,238.870
19,480,14,80,76.563,68.256,96.378,122.634,170.646,278.051
20,480,14,112,99.069,68.576,142.678,130.758,259.574,365.366
21,112,14,672,102.176,69.530,100.774,138.387,225.594,406.912
22,672,14,112,91.389,80.173,185.405,165.312,271.789,448.080
23,576,7,160,91.952,66.650,79.613,83.222,117.459,172.288
24,160,7,960,93.168,77.555,78.602,101.245,137.254,229.635
25,960,7,160,92.445,102.707,102.992,114.016,170.666,256.963
26,960,7,320,89.584,101.347,106.544,243.910,247.043,450.461
27,320,7,1280,87.824,111.034,115.181,186.621,296.522,513.635
28,672,7,192,93.917,84.646,86.317,95.366,179.747,194.976
29,192,7,1152,86.035,89.146,87.075,112.314,178.022,305.274
30,1152,7,192,92.694,111.059,115.386,137.760,271.459,321.600
31,1152,7,320,96.336,113.069,137.187,285.318,291.754,530.221
